recommendation_id,company_id,prediction_id,software_name,recommendation_type,title,description,priority,estimated_monthly_savings,status,created_at
reco-pred-12-03,comp-001,pred-12-03,HubSpot Enterprise,license_reduce,Reduce HubSpot Enterprise licenses by 5,AI detected 5 dormant seats in HubSpot Enterprise. Recommended action: revoke and save estimated $50/month.,high,50.41,applied,2026-03-02 08:00:00+07
reco-pred-12-05,comp-001,pred-12-05,HubSpot Enterprise,license_reduce,Reduce HubSpot Enterprise licenses by 2,AI detected 2 dormant seats in HubSpot Enterprise. Recommended action: revoke and save estimated $25/month.,low,25.12,pending,2026-05-01 08:00:00+07
reco-pred-12-06,comp-001,pred-12-06,HubSpot Enterprise,license_reduce,Reduce HubSpot Enterprise licenses by 5,AI detected 5 dormant seats in HubSpot Enterprise. Recommended action: revoke and save estimated $347/month.,high,346.52,dismissed,2026-05-31 08:00:00+07
reco-pred-13-01,comp-001,pred-13-01,Atlassian Bitbucket,cost_saving,Reduce Atlassian Bitbucket licenses by 8,AI detected 8 dormant seats in Atlassian Bitbucket. Recommended action: revoke and save estimated $264/month.,low,263.99,dismissed,2026-01-01 08:00:00+07
reco-pred-14-02,comp-001,pred-14-02,Datadog Infrastructure,cost_saving,Reduce Datadog Infrastructure licenses by 1,AI detected 1 dormant seats in Datadog Infrastructure. Recommended action: revoke and save estimated $53/month.,medium,53.12,applied,2026-01-31 08:00:00+07
reco-pred-14-04,comp-001,pred-14-04,Datadog Infrastructure,license_reduce,Reduce Datadog Infrastructure licenses by 3,AI detected 3 dormant seats in Datadog Infrastructure. Recommended action: revoke and save estimated $163/month.,low,162.92,pending,2026-04-01 08:00:00+07
reco-pred-14-05,comp-001,pred-14-05,Datadog Infrastructure,license_reduce,Reduce Datadog Infrastructure licenses by 1,AI detected 1 dormant seats in Datadog Infrastructure. Recommended action: revoke and save estimated $71/month.,medium,70.66,dismissed,2026-05-01 08:00:00+07
reco-pred-15-02,comp-001,pred-15-02,AWS Business Support,revoke_dormant,Reduce AWS Business Support licenses by 8,AI detected 8 dormant seats in AWS Business Support. Recommended action: revoke and save estimated $152/month.,low,152.04,dismissed,2026-01-31 08:00:00+07
reco-pred-16-03,comp-001,pred-16-03,Tableau Creator,revoke_dormant,Reduce Tableau Creator licenses by 6,AI detected 6 dormant seats in Tableau Creator. Recommended action: revoke and save estimated $86/month.,low,86.46,pending,2026-03-02 08:00:00+07
reco-pred-16-06,comp-001,pred-16-06,Tableau Creator,revoke_dormant,Reduce Tableau Creator licenses by 3,AI detected 3 dormant seats in Tableau Creator. Recommended action: revoke and save estimated $136/month.,low,135.60,applied,2026-05-31 08:00:00+07
reco-pred-17-02,comp-001,pred-17-02,Power BI Pro,revoke_dormant,Reduce Power BI Pro licenses by 7,AI detected 7 dormant seats in Power BI Pro. Recommended action: revoke and save estimated $388/month.,medium,387.56,dismissed,2026-01-31 08:00:00+07
reco-pred-17-03,comp-001,pred-17-03,Power BI Pro,revoke_dormant,Reduce Power BI Pro licenses by 2,AI detected 2 dormant seats in Power BI Pro. Recommended action: revoke and save estimated $68/month.,high,68.33,dismissed,2026-03-02 08:00:00+07
reco-pred-17-05,comp-001,pred-17-05,Power BI Pro,cost_saving,Reduce Power BI Pro licenses by 6,AI detected 6 dormant seats in Power BI Pro. Recommended action: revoke and save estimated $395/month.,medium,394.53,applied,2026-05-01 08:00:00+07
reco-pred-18-03,comp-001,pred-18-03,Monday.com Enterprise,license_reduce,Reduce Monday.com Enterprise licenses by 8,AI detected 8 dormant seats in Monday.com Enterprise. Recommended action: revoke and save estimated $356/month.,high,356.12,dismissed,2026-03-02 08:00:00+07
reco-pred-18-04,comp-001,pred-18-04,Monday.com Enterprise,license_reduce,Reduce Monday.com Enterprise licenses by 4,AI detected 4 dormant seats in Monday.com Enterprise. Recommended action: revoke and save estimated $65/month.,medium,65.38,dismissed,2026-04-01 08:00:00+07
reco-pred-18-06,comp-001,pred-18-06,Monday.com Enterprise,revoke_dormant,Reduce Monday.com Enterprise licenses by 3,AI detected 3 dormant seats in Monday.com Enterprise. Recommended action: revoke and save estimated $125/month.,high,125.23,applied,2026-05-31 08:00:00+07
reco-pred-19-03,comp-001,pred-19-03,Zendesk Suite,revoke_dormant,Reduce Zendesk Suite licenses by 6,AI detected 6 dormant seats in Zendesk Suite. Recommended action: revoke and save estimated $430/month.,high,429.86,pending,2026-03-02 08:00:00+07
reco-pred-20-02,comp-001,pred-20-02,DocuSign Enterprise,revoke_dormant,Reduce DocuSign Enterprise licenses by 7,AI detected 7 dormant seats in DocuSign Enterprise. Recommended action: revoke and save estimated $208/month.,medium,208.35,dismissed,2026-01-31 08:00:00+07
reco-pred-20-03,comp-001,pred-20-03,DocuSign Enterprise,license_reduce,Reduce DocuSign Enterprise licenses by 2,AI detected 2 dormant seats in DocuSign Enterprise. Recommended action: revoke and save estimated $103/month.,low,103.27,applied,2026-03-02 08:00:00+07
reco-pred-20-05,comp-001,pred-20-05,DocuSign Enterprise,revoke_dormant,Reduce DocuSign Enterprise licenses by 3,AI detected 3 dormant seats in DocuSign Enterprise. Recommended action: revoke and save estimated $220/month.,high,220.32,dismissed,2026-05-01 08:00:00+07
reco-pred-20-06,comp-001,pred-20-06,DocuSign Enterprise,cost_saving,Reduce DocuSign Enterprise licenses by 2,AI detected 2 dormant seats in DocuSign Enterprise. Recommended action: revoke and save estimated $82/month.,high,81.67,dismissed,2026-05-31 08:00:00+07
reco-anom-pred-anom-07-1,comp-001,pred-anom-07-1,Jira Software Cloud,revoke_dormant,Dormant accounts detected in Jira Software Cloud,Isolation Forest flagged 10 dormant users. Estimated annual savings: $201.,high,201.14,pending,2026-04-19 09:30:00+07
reco-anom-pred-anom-07-2,comp-001,pred-anom-07-2,Jira Software Cloud,revoke_dormant,Dormant accounts detected in Jira Software Cloud,Isolation Forest flagged 3 dormant users. Estimated annual savings: $411.,high,410.68,pending,2026-04-16 09:30:00+07
reco-anom-pred-anom-07-3,comp-001,pred-anom-07-3,Jira Software Cloud,revoke_dormant,Dormant accounts detected in Jira Software Cloud,Isolation Forest flagged 12 dormant users. Estimated annual savings: $176.,high,175.91,pending,2026-01-16 09:30:00+07
reco-anom-pred-anom-02-1,comp-001,pred-anom-02-1,Adobe Creative Cloud All Apps,revoke_dormant,Dormant accounts detected in Adobe Creative Cloud All Apps,Isolation Forest flagged 3 dormant users. Estimated annual savings: $171.,high,171.40,pending,2026-02-07 09:30:00+07
reco-anom-pred-anom-02-2,comp-001,pred-anom-02-2,Adobe Creative Cloud All Apps,revoke_dormant,Dormant accounts detected in Adobe Creative Cloud All Apps,Isolation Forest flagged 2 dormant users. Estimated annual savings: $434.,high,433.81,pending,2026-06-16 09:30:00+07
reco-anom-pred-anom-02-3,comp-001,pred-anom-02-3,Adobe Creative Cloud All Apps,revoke_dormant,Dormant accounts detected in Adobe Creative Cloud All Apps,Isolation Forest flagged 12 dormant users. Estimated annual savings: $219.,high,218.86,pending,2026-04-15 09:30:00+07
reco-anom-pred-anom-12-1,comp-001,pred-anom-12-1,HubSpot Enterprise,revoke_dormant,Dormant accounts detected in HubSpot Enterprise,Isolation Forest flagged 8 dormant users. Estimated annual savings: $153.,high,153.00,pending,2026-03-05 09:30:00+07
reco-anom-pred-anom-12-2,comp-001,pred-anom-12-2,HubSpot Enterprise,revoke_dormant,Dormant accounts detected in HubSpot Enterprise,Isolation Forest flagged 8 dormant users. Estimated annual savings: $464.,high,464.06,pending,2026-05-17 09:30:00+07
reco-anom-pred-anom-12-3,comp-001,pred-anom-12-3,HubSpot Enterprise,revoke_dormant,Dormant accounts detected in HubSpot Enterprise,Isolation Forest flagged 12 dormant users. Estimated annual savings: $267.,high,266.81,pending,2026-04-29 09:30:00+07
reco-anom-pred-anom-18-1,comp-001,pred-anom-18-1,Monday.com Enterprise,revoke_dormant,Dormant accounts detected in Monday.com Enterprise,Isolation Forest flagged 6 dormant users. Estimated annual savings: $399.,high,399.12,pending,2026-03-01 09:30:00+07
reco-anom-pred-anom-18-2,comp-001,pred-anom-18-2,Monday.com Enterprise,revoke_dormant,Dormant accounts detected in Monday.com Enterprise,Isolation Forest flagged 3 dormant users. Estimated annual savings: $366.,high,365.98,pending,2026-06-10 09:30:00+07
reco-anom-pred-anom-18-3,comp-001,pred-anom-18-3,Monday.com Enterprise,revoke_dormant,Dormant accounts detected in Monday.com Enterprise,Isolation Forest flagged 8 dormant users. Estimated annual savings: $363.,high,362.82,pending,2026-05-22 09:30:00+07
reco-anom-pred-anom-10-1,comp-001,pred-anom-10-1,Figma Professional,revoke_dormant,Dormant accounts detected in Figma Professional,Isolation Forest flagged 9 dormant users. Estimated annual savings: $281.,high,281.08,pending,2026-06-21 09:30:00+07
reco-anom-pred-anom-10-2,comp-001,pred-anom-10-2,Figma Professional,revoke_dormant,Dormant accounts detected in Figma Professional,Isolation Forest flagged 5 dormant users. Estimated annual savings: $461.,high,461.31,pending,2026-02-07 09:30:00+07
reco-anom-pred-anom-10-3,comp-001,pred-anom-10-3,Figma Professional,revoke_dormant,Dormant accounts detected in Figma Professional,Isolation Forest flagged 9 dormant users. Estimated annual savings: $109.,high,109.33,pending,2026-01-13 09:30:00+07
