qr_id,asset_id,asset_tag,qr_value,is_printed,scan_count
qr-00029,ast-00029,AST-00029,9D94873E08860453F56AB085,TRUE,23
qr-00030,ast-00030,AST-00030,C3B0E3BB235B40467732A786,TRUE,46
qr-00031,ast-00031,AST-00031,52E0F23CEE5C9BC184D07D58,TRUE,37
qr-00032,ast-00032,AST-00032,06EBAA4FAD1F37833ADEE2D5,TRUE,35
qr-00033,ast-00033,AST-00033,3C7F3845B612C958E8511B30,TRUE,47
qr-00034,ast-00034,AST-00034,07943E035A44AAE4C8F06DAB,FALSE,18
qr-00035,ast-00035,AST-00035,661C95834857D865EFBFF374,TRUE,36
qr-00036,ast-00036,AST-00036,3662F7BF2CDD3133B389C9C6,FALSE,50
qr-00037,ast-00037,AST-00037,AC08CBEB73C0D0942438E855,FALSE,31
qr-00038,ast-00038,AST-00038,C18D20281312954F8692CF51,TRUE,43
qr-00039,ast-00039,AST-00039,025020BA005A02A5CC273989,TRUE,32
qr-00040,ast-00040,AST-00040,99AA583A90BE6CD50F119BD0,TRUE,45
qr-00041,ast-00041,AST-00041,381A0F64A6508E4AB9E9001A,TRUE,30
qr-00042,ast-00042,AST-00042,856F9FED4CCE6512A2756B0D,TRUE,50
qr-00043,ast-00043,AST-00043,E6114D46FA2067592ED7C436,TRUE,28
qr-00044,ast-00044,AST-00044,F45603BC7B5F3B054ECE723B,TRUE,27
qr-00045,ast-00045,AST-00045,636755F55F4FF645112AECA3,TRUE,33
qr-00046,ast-00046,AST-00046,C38E921E145A1124B33D5750,TRUE,17
qr-00047,ast-00047,AST-00047,11A246AB16FEB876ACA13678,TRUE,38
qr-00048,ast-00048,AST-00048,C8D889057C04921EECAC8149,TRUE,47
qr-00049,ast-00049,AST-00049,F9D1F76E27DA75A7968B66F8,TRUE,50
qr-00050,ast-00050,AST-00050,0918AAC5345608A86837F208,FALSE,13
qr-00051,ast-00051,AST-00051,EF20E7775AADBF82779328D9,TRUE,38
qr-00052,ast-00052,AST-00052,04E65D97A01381678314CCF2,FALSE,40
qr-00053,ast-00053,AST-00053,86287F63790D28952C4C2936,FALSE,9
qr-00054,ast-00054,AST-00054,FE6F83BC08479589A843A639,TRUE,9
qr-00055,ast-00055,AST-00055,50EA47B218DE4BE66AA6A0FC,TRUE,25
qr-00056,ast-00056,AST-00056,E764E04C9C7AC340FB983947,FALSE,2
qr-00057,ast-00057,AST-00057,392D516C59579748A427D604,FALSE,47
qr-00058,ast-00058,AST-00058,FFB69EFD76AB539712299837,TRUE,8
qr-00059,ast-00059,AST-00059,02420ED2394B410D3C09E0A7,FALSE,10
qr-00060,ast-00060,AST-00060,CEDBFECDF730878BE442F1A4,TRUE,39
qr-00061,ast-00061,AST-00061,4B987E236613A37727A5E4FE,TRUE,11
qr-00062,ast-00062,AST-00062,8706F612E055ED9E15210E37,FALSE,42
qr-00063,ast-00063,AST-00063,208812714E435098DE01FE37,FALSE,3
qr-00064,ast-00064,AST-00064,D68D3E0F8BD74CE9E70C775B,TRUE,42
qr-00065,ast-00065,AST-00065,6DE7E32C422653C849129FE6,TRUE,48
qr-00066,ast-00066,AST-00066,800777B99AF9F1C1964BE1E9,TRUE,27
qr-00067,ast-00067,AST-00067,19592A70C97F58AA42EA1E82,TRUE,34
qr-00068,ast-00068,AST-00068,87C543911AA4A11A7D883EE3,TRUE,24
qr-00069,ast-00069,AST-00069,7850D7AE057D96F4B9A35440,TRUE,28
qr-00070,ast-00070,AST-00070,01AA6925EA2B9B3D0758718C,TRUE,5
qr-00071,ast-00071,AST-00071,9F980F82FA25AFF40BD79BA0,TRUE,41
qr-00072,ast-00072,AST-00072,B4B85EF6247F836EE759B8B6,TRUE,42
qr-00073,ast-00073,AST-00073,F64E7D077EAE1098E0CA0856,TRUE,11
qr-00074,ast-00074,AST-00074,014DCD96A8E0CB8FACDF856B,TRUE,15
qr-00075,ast-00075,AST-00075,95AB2DA34D233B8F27F245F8,TRUE,33
qr-00076,ast-00076,AST-00076,8A83397AFBDB9D713B8D1EA3,TRUE,24
qr-00077,ast-00077,AST-00077,9CBF242C9B4114DC4432A029,TRUE,11
qr-00078,ast-00078,AST-00078,AF4CD5BD6293AB683CB479DE,TRUE,7
qr-00079,ast-00079,AST-00079,DCC2798D635DCEAF1BB0756D,TRUE,23
qr-00080,ast-00080,AST-00080,2C7B14D31A86A8113DCDB9F1,TRUE,9
qr-00081,ast-00081,AST-00081,3DA59EECEDB83BB289D29A1E,TRUE,31
qr-00082,ast-00082,AST-00082,8218A18D9A5AEC0F7DFF3F9A,FALSE,43
qr-00083,ast-00083,AST-00083,3947573A2C6AB8A6CDC1E0AB,FALSE,8
qr-00084,ast-00084,AST-00084,D646A85FDAF7CC47C17062FB,TRUE,46
qr-00085,ast-00085,AST-00085,974AE7523EA6E9FEE74CCB11,TRUE,18
qr-00086,ast-00086,AST-00086,08131B35C205B2E5CB13E27B,TRUE,3
qr-00087,ast-00087,AST-00087,19F249665AFCBA7C714E2B36,FALSE,29
qr-00088,ast-00088,AST-00088,13D53470BD3667820B1717DC,TRUE,34
qr-00089,ast-00089,AST-00089,CAE579B99C54998DA5DF0589,TRUE,3
qr-00090,ast-00090,AST-00090,361A05282F952DF150C562B0,TRUE,35
qr-00091,ast-00091,AST-00091,34B8E8BF150A7410E3AAD7CD,TRUE,21
qr-00092,ast-00092,AST-00092,64A77C9F50E1F04C3C409443,FALSE,28
qr-00093,ast-00093,AST-00093,54122529321F59405A08CA6B,TRUE,50
qr-00094,ast-00094,AST-00094,06616320767E0F76373C4589,TRUE,15
qr-00095,ast-00095,AST-00095,D53927048DA74849DA9358E9,TRUE,15
qr-00096,ast-00096,AST-00096,0D36CFAE2FE0A16B9E10256D,TRUE,25
qr-00097,ast-00097,AST-00097,77B6D5F382CE6DBC3CCD2C42,TRUE,3
qr-00098,ast-00098,AST-00098,F4D89BFEB46508296610D7CB,TRUE,14
qr-00099,ast-00099,AST-00099,48F3D4C16807EEE5E060ADA7,FALSE,1
qr-00100,ast-00100,AST-00100,2AB28310BF67884171AD7C11,TRUE,20
qr-00101,ast-00101,AST-00101,3950980686DE5A4832268B8B,TRUE,2
qr-00102,ast-00102,AST-00102,A04B4089217C4A11BB24CCBC,TRUE,41
qr-00103,ast-00103,AST-00103,5377CEB35FB5C5FED7C82577,TRUE,39
qr-00104,ast-00104,AST-00104,8CAEF2688D7C5772C6E4D6A1,TRUE,10
qr-00105,ast-00105,AST-00105,E53DB879AC75C1B975AC05C0,TRUE,4
qr-00106,ast-00106,AST-00106,81171D63454CBA8813512693,TRUE,22
qr-00107,ast-00107,AST-00107,97391546DB647319BEC51D06,TRUE,22
qr-00108,ast-00108,AST-00108,A673DD652295CEF2D96D4B7D,TRUE,23
qr-00109,ast-00109,AST-00109,4E277FC5535F17CE5DC7876F,TRUE,25
qr-00110,ast-00110,AST-00110,4CAB90EF58334E2145752D03,TRUE,7
qr-00111,ast-00111,AST-00111,6CAAC038C8DAB476D96B2F40,TRUE,17
qr-00112,ast-00112,AST-00112,64C1605ADB26C72E2E861365,TRUE,18
qr-00113,ast-00113,AST-00113,3B3CD037C07853FE7B001820,TRUE,5
qr-00114,ast-00114,AST-00114,AC35F14BFC8F7E995A612C69,TRUE,49
qr-00115,ast-00115,AST-00115,4100B243FFA47FD6CC7F365F,TRUE,3
qr-00116,ast-00116,AST-00116,276DE3E5BEE1C0F35398F126,TRUE,5
qr-00117,ast-00117,AST-00117,F443E7CA0746FDBC23D871E5,TRUE,48
qr-00118,ast-00118,AST-00118,A8AB8977324FD9FD73C4835E,TRUE,12
qr-00119,ast-00119,AST-00119,28283221318A74BFDC57BB18,TRUE,16
qr-00120,ast-00120,AST-00120,500A323901AFA3AFE6E297D5,TRUE,28
qr-00121,ast-00121,AST-00121,9A04BBD40D00A8E9171F813C,TRUE,2
qr-00122,ast-00122,AST-00122,05F8B5EAA2154328E0478814,TRUE,28
qr-00123,ast-00123,AST-00123,A6A367F91C776A385356B02D,TRUE,34
qr-00124,ast-00124,AST-00124,D6D876D5895C7887DBAEF99D,TRUE,38
qr-00125,ast-00125,AST-00125,A9CB2BCA4615BB49406386B4,FALSE,39
qr-00126,ast-00126,AST-00126,816E2C066E1A8239AC2CB70C,TRUE,25
qr-00127,ast-00127,AST-00127,12C3B390E451258B39972F17,FALSE,21
qr-00128,ast-00128,AST-00128,436EC496998A7AA1F1256992,TRUE,30
qr-00129,ast-00129,AST-00129,E2396C97DFC5951E0D697EA6,TRUE,16
qr-00130,ast-00130,AST-00130,CCB7A841144D5329162A9C5A,TRUE,43
qr-00131,ast-00131,AST-00131,4FB1F7A8380C0C69EDAB50AA,FALSE,43
qr-00132,ast-00132,AST-00132,3FF4312F456C89D3061D78FF,TRUE,7
qr-00133,ast-00133,AST-00133,BD8D6954CB8F0B360E5F64C3,TRUE,23
qr-00134,ast-00134,AST-00134,6B636E484C07FDA866E6B913,TRUE,9
qr-00135,ast-00135,AST-00135,7763949CAE01C8912CFE9086,TRUE,19
qr-00136,ast-00136,AST-00136,33F014FEA92EFB7E9D57FC21,TRUE,35
qr-00137,ast-00137,AST-00137,900D4A2535243168A302EC3E,TRUE,9
qr-00138,ast-00138,AST-00138,BB823ECF57F338A600E859F7,TRUE,23
qr-00139,ast-00139,AST-00139,9F450AC4ABD7877E1629426C,TRUE,14
qr-00140,ast-00140,AST-00140,4A202FB5FBA110135252AE1E,FALSE,24
qr-00141,ast-00141,AST-00141,3D2241839F5B6E20AD1D2541,TRUE,19
qr-00142,ast-00142,AST-00142,06A8576BE772EB53D1E06F7D,TRUE,37
qr-00143,ast-00143,AST-00143,8CC73AA5E4881319A7833301,TRUE,47
qr-00144,ast-00144,AST-00144,7215BDF5DD1E36E3AFFEA30B,TRUE,36
qr-00145,ast-00145,AST-00145,5CC947502C6B8E5F1A5F988F,TRUE,27
qr-00146,ast-00146,AST-00146,D54DEF1F6D103597D1FED92E,TRUE,39
qr-00147,ast-00147,AST-00147,D53B7906420FC96F468A3E4D,TRUE,11
qr-00148,ast-00148,AST-00148,C9702CFBB881315EC61A825E,TRUE,2
qr-00149,ast-00149,AST-00149,6F145CEAFECFE0F68BA38604,TRUE,8
qr-00150,ast-00150,AST-00150,1125BF3A21CE0DDB87838BC0,TRUE,43
qr-00151,ast-00151,AST-00151,60A41E56A239D635B950218F,TRUE,39
qr-00152,ast-00152,AST-00152,A0722D5892BC6CB3FB2C485D,FALSE,37
qr-00153,ast-00153,AST-00153,74FE2B81D195099A56DCDDE8,FALSE,22
qr-00154,ast-00154,AST-00154,0C9936E3C57A2565CB80EDC5,TRUE,34
qr-00155,ast-00155,AST-00155,A74463A6E0098FB58C1E61B2,TRUE,24
qr-00156,ast-00156,AST-00156,57C3D9CF981ADB23AEC578C7,TRUE,37
qr-00157,ast-00157,AST-00157,EEEDBB5199DD364956CD9F2A,TRUE,43
qr-00158,ast-00158,AST-00158,4BFF34E1FF4CA16B0BF121FA,TRUE,43
qr-00159,ast-00159,AST-00159,05DD6C5D371C8C8CE32CFB08,TRUE,29
qr-00160,ast-00160,AST-00160,9C6EDF27D132B327C3538C71,TRUE,9
qr-00161,ast-00161,AST-00161,4D7FE4F3E0E0EDA078C7AD01,TRUE,48
qr-00162,ast-00162,AST-00162,347D6A3D2687C2C3F2F4AB54,TRUE,43
qr-00163,ast-00163,AST-00163,E1430BC13CD8866655F04D28,TRUE,18
qr-00164,ast-00164,AST-00164,47E08C33D0FD34F72ACED565,TRUE,49
qr-00165,ast-00165,AST-00165,50A32BF5C826177E5E726978,TRUE,10
qr-00166,ast-00166,AST-00166,BD2D755FB3C8DB825B553F4A,TRUE,35
qr-00167,ast-00167,AST-00167,A38DE3D7E24FCAD59AEABD6D,FALSE,41
qr-00168,ast-00168,AST-00168,992E23765F8FF12CBBAC02E0,FALSE,33
qr-00169,ast-00169,AST-00169,AF650638BF4BAABCD17BB75D,FALSE,38
qr-00170,ast-00170,AST-00170,6BFD0036FCC7A029AE50E9E1,TRUE,4
qr-00171,ast-00171,AST-00171,B776DFBD37577A95BC845B4F,TRUE,15
qr-00172,ast-00172,AST-00172,23C9ABBC15E8192C6E2DEE86,TRUE,45
qr-00173,ast-00173,AST-00173,228E014FFEDDE0D706DA5D76,TRUE,8
qr-00174,ast-00174,AST-00174,BC1575F20CC7522B06D03D7A,TRUE,32
qr-00175,ast-00175,AST-00175,8DFD4399BE1C5DCF75E7FC33,TRUE,34
qr-00176,ast-00176,AST-00176,A444D4DAD22F489795A3DD0E,TRUE,7
qr-00177,ast-00177,AST-00177,F78CDD04EFF13F63399D8D3A,TRUE,8
qr-00178,ast-00178,AST-00178,AC170AF0173852AEE6C0005E,FALSE,25
qr-00179,ast-00179,AST-00179,5350C8D2E2CBA9241AD679DD,TRUE,17
qr-00180,ast-00180,AST-00180,2A8FA3F1E325917DB4F66285,TRUE,34
qr-00181,ast-00181,AST-00181,8933A17A019A914DDE74E395,FALSE,14
qr-00182,ast-00182,AST-00182,6D1E9290070B9E27C61EBE71,FALSE,19
qr-00183,ast-00183,AST-00183,16D02D2DE712626D86647FFB,TRUE,32
qr-00184,ast-00184,AST-00184,58ABE622B5259161ECF035FE,TRUE,23
qr-00185,ast-00185,AST-00185,8C0A48C4BF5393E8C47C8126,TRUE,45
qr-00186,ast-00186,AST-00186,F42EE9CF68DDF9559A3B718C,TRUE,22
qr-00187,ast-00187,AST-00187,5D9970090BA4CB41A52110ED,TRUE,8
qr-00188,ast-00188,AST-00188,773B7EEB61B8ACE5414B4CDC,TRUE,50
qr-00189,ast-00189,AST-00189,BE9F3594C528D2AD6F6AA970,TRUE,36
qr-00190,ast-00190,AST-00190,D167B3DD9F21EDDC4F71545F,TRUE,18
qr-00191,ast-00191,AST-00191,9393891667E0F261C1A6CC97,TRUE,45
qr-00192,ast-00192,AST-00192,6478F88274DE4F59C2A95075,TRUE,36
qr-00193,ast-00193,AST-00193,3A7CE1BCA4DEAE2DD7E29990,TRUE,5
qr-00194,ast-00194,AST-00194,7BD6D9E325016AF37DF0DEE1,FALSE,6
qr-00195,ast-00195,AST-00195,F7BEB1D0DDC5F8DFA73F2026,TRUE,0
qr-00196,ast-00196,AST-00196,92801CE78C019757617821AE,TRUE,32
qr-00197,ast-00197,AST-00197,9BFAE576704D3C7B52BB17AD,TRUE,1
qr-00198,ast-00198,AST-00198,089733740C71F6C7682D5055,TRUE,16
qr-00199,ast-00199,AST-00199,FA1B6D01064C0BE0BFF14F9C,TRUE,2
qr-00200,ast-00200,AST-00200,FBBA1E1418F39851F56C9015,TRUE,31
qr-00201,ast-00201,AST-00201,F692A1A00B502B928113BB43,TRUE,41
qr-00202,ast-00202,AST-00202,64DFF5DCEA0D8104BF54AA07,TRUE,20
qr-00203,ast-00203,AST-00203,77975351EE7B171144149579,TRUE,48
qr-00204,ast-00204,AST-00204,4B3DCB0A35735618F75A1C33,TRUE,25
qr-00205,ast-00205,AST-00205,306A9512B7D4740F767B61EC,TRUE,42
qr-00206,ast-00206,AST-00206,C05852EBA03969D1A45A163D,FALSE,43
qr-00207,ast-00207,AST-00207,3AF052AC68B3ED9C9AB53CE8,TRUE,11
qr-00208,ast-00208,AST-00208,75FE51FA52A2FE7E7317B90D,TRUE,7
qr-00209,ast-00209,AST-00209,C08E5C6C583B63F8FD36FB23,TRUE,31
qr-00210,ast-00210,AST-00210,ACA03B5F6EF0444441A24CC7,FALSE,15
qr-00211,ast-00211,AST-00211,485AB6DF7FFEE0E305944A5E,TRUE,19
qr-00212,ast-00212,AST-00212,1FA11666DBF9ED169E2A2A9A,FALSE,37
qr-00213,ast-00213,AST-00213,48E2D9EA07ABA42986C014DF,TRUE,50
qr-00214,ast-00214,AST-00214,D37AE3D66B8D13DAE0D82041,TRUE,31
qr-00215,ast-00215,AST-00215,5F9FAFBB0C3B5832E1BDBF86,TRUE,10
qr-00216,ast-00216,AST-00216,1419C3938771DF381C8B7D55,TRUE,18
qr-00217,ast-00217,AST-00217,830748FD898EE75D7E83FF74,TRUE,18
qr-00218,ast-00218,AST-00218,F4E395BC73F22CFCD04B9B47,FALSE,42
qr-00219,ast-00219,AST-00219,BB2A62C938CFE5CBDFAB1AA3,TRUE,10
qr-00220,ast-00220,AST-00220,795C3CE9F54919EEC913A381,TRUE,16
qr-00221,ast-00221,AST-00221,0DD785BF38F433B2256F1E63,TRUE,40
qr-00222,ast-00222,AST-00222,06DEDDADB380198A661BED52,TRUE,36
qr-00223,ast-00223,AST-00223,275592CA7EDB48782C7BAA1D,TRUE,47
qr-00224,ast-00224,AST-00224,D73708FCC52571A129CE2237,TRUE,16
qr-00225,ast-00225,AST-00225,A8F0C3190C4DA2C34EB96B99,TRUE,19
qr-00226,ast-00226,AST-00226,53BDBBC32E7DD983B79042BA,TRUE,34
qr-00227,ast-00227,AST-00227,A2BB25EC26D3537200ECB0B6,TRUE,43
qr-00228,ast-00228,AST-00228,ED48E69CF16A0AFF3BA00080,TRUE,12
qr-00229,ast-00229,AST-00229,256353492906331592FA5518,TRUE,1
qr-00230,ast-00230,AST-00230,FBE9B6EE197E64CA676E44D5,TRUE,20
qr-00231,ast-00231,AST-00231,870A708B1D24718DCD2F755B,TRUE,35
qr-00232,ast-00232,AST-00232,75C25E6EF7A93DBCA270E7C9,TRUE,50
qr-00233,ast-00233,AST-00233,F0359C866098EF35C1413BBD,FALSE,13
qr-00234,ast-00234,AST-00234,9E5FA7443ECF63F288F59A50,TRUE,20
qr-00235,ast-00235,AST-00235,6948EB579BF3F111A75788A6,TRUE,8
qr-00236,ast-00236,AST-00236,A8BB84E63050C002FA96E8DF,TRUE,12
qr-00237,ast-00237,AST-00237,0D0E1DFBF683E5F50855649A,TRUE,17
qr-00238,ast-00238,AST-00238,70A879628AE2035884538FFD,TRUE,16
qr-00239,ast-00239,AST-00239,57F85E56E29FB3EDC1A55B63,TRUE,45
qr-00240,ast-00240,AST-00240,EFD20D885C2017209437A021,TRUE,14
qr-00241,ast-00241,AST-00241,8F414FAF310DAF28EDDB2480,TRUE,6
qr-00242,ast-00242,AST-00242,AFDA98FFF1E312F9C1BB5BCB,TRUE,37
qr-00243,ast-00243,AST-00243,556C701EC79C946AB897FA44,TRUE,34
qr-00244,ast-00244,AST-00244,33440CAA8D3C68B83A2C63A3,TRUE,47
qr-00245,ast-00245,AST-00245,E47E04EB2ECFA3072D88C565,TRUE,20
qr-00246,ast-00246,AST-00246,52EFC7AE1CDFFB76ED0D4437,TRUE,28
qr-00247,ast-00247,AST-00247,67F778494A26402C4A010A97,TRUE,23
qr-00248,ast-00248,AST-00248,3CB577552CCEF0F75F45560B,FALSE,26
qr-00249,ast-00249,AST-00249,45E2A5459E10BEC0BC41D57D,TRUE,42
qr-00250,ast-00250,AST-00250,9EF84B90C283F0F7B190DA43,TRUE,45
qr-00251,ast-00251,AST-00251,5664B1A80894D4669A61D415,TRUE,35
qr-00252,ast-00252,AST-00252,03C81F73F0712CAE66726657,TRUE,20
qr-00253,ast-00253,AST-00253,2422E947315F1438B042996C,TRUE,31
qr-00254,ast-00254,AST-00254,B01463918285E2CDAA1EC36B,TRUE,22
qr-00255,ast-00255,AST-00255,2279A00D2C26F3F3C29DD10F,TRUE,27
qr-00256,ast-00256,AST-00256,1030DAF861544B70AEFAAD22,TRUE,46
qr-00257,ast-00257,AST-00257,396BAF81204872274D34AC89,TRUE,31
qr-00258,ast-00258,AST-00258,5FDE4F298C4EE59DD2034CFD,TRUE,22
qr-00259,ast-00259,AST-00259,897F8E47799F67F3A5502744,TRUE,31
qr-00260,ast-00260,AST-00260,9E7186566B94D11B263317D9,TRUE,23
qr-00261,ast-00261,AST-00261,B5FC20C07D8D71E1C47B4708,TRUE,45
qr-00262,ast-00262,AST-00262,028355E99ACFD44961CF5259,TRUE,43
qr-00263,ast-00263,AST-00263,098093A0F41099A7827E9B8D,TRUE,32
qr-00264,ast-00264,AST-00264,5196CF434879155641413E71,TRUE,26
qr-00265,ast-00265,AST-00265,B9FF3B5764AB42C6FF204E31,TRUE,41
qr-00266,ast-00266,AST-00266,5DB66EEF299D8225BD7B77C8,TRUE,15
qr-00267,ast-00267,AST-00267,CAF09D26C3BDAF11927837D7,FALSE,38
qr-00268,ast-00268,AST-00268,53C701801F105D0BBC9E072C,TRUE,42
qr-00269,ast-00269,AST-00269,2C41A8ED2065B7238E65C4FC,TRUE,2
qr-00270,ast-00270,AST-00270,B185699773A98B055C5511E1,FALSE,9
qr-00271,ast-00271,AST-00271,5C00C2436FD071EC861ED0F1,TRUE,38
qr-00272,ast-00272,AST-00272,8486EC7BA269D1535D758659,TRUE,14
qr-00273,ast-00273,AST-00273,89D701F672BF588EB65A1FFE,FALSE,8
qr-00274,ast-00274,AST-00274,00CC8115A8DD70FAD2D01BED,TRUE,48
qr-00275,ast-00275,AST-00275,C003699908C6DFD6BAE86E33,TRUE,21
qr-00276,ast-00276,AST-00276,6F83F6DA30BC75C714B82746,FALSE,26
qr-00277,ast-00277,AST-00277,97F4CD8AEA717FF1B1263C90,FALSE,10
qr-00278,ast-00278,AST-00278,5C5C47AD00F5EA118F972910,TRUE,2
qr-00279,ast-00279,AST-00279,48EEE2908470AE5B348BF6EC,FALSE,7
qr-00280,ast-00280,AST-00280,519D1902DF71B20346A617BF,TRUE,4
qr-00281,ast-00281,AST-00281,0EE7310D8A0A14436EFAC367,TRUE,49
qr-00282,ast-00282,AST-00282,3F1C84F07BE45F6BDAF3AC6A,TRUE,25
qr-00283,ast-00283,AST-00283,EF17D53883312B39A8EEB2CD,FALSE,48
qr-00284,ast-00284,AST-00284,74E5E8E9E2E8EDCC0E86EE7C,TRUE,10
qr-00285,ast-00285,AST-00285,CC8C4291AADE759F0E1C415D,TRUE,28
qr-00286,ast-00286,AST-00286,D9C78EC600729AF4B8B26243,TRUE,40
qr-00287,ast-00287,AST-00287,901B40435ACAFEE0470ECCA8,FALSE,9
qr-00288,ast-00288,AST-00288,54CE8CB20F02E159CBFE1EDC,TRUE,45
qr-00289,ast-00289,AST-00289,E847D159342EDBF7A37DA88D,TRUE,35
qr-00290,ast-00290,AST-00290,9AF7A19DF15E46D2B966F6B5,TRUE,49
qr-00291,ast-00291,AST-00291,D2548CF33FB6C4C834BDAD6B,FALSE,3
qr-00292,ast-00292,AST-00292,16325E75D23DC3AC6D6D5B62,TRUE,26
qr-00293,ast-00293,AST-00293,F9B4FBA33C24E630B157B86B,TRUE,34
qr-00294,ast-00294,AST-00294,2958770D031549886A0FB6DA,TRUE,12
qr-00295,ast-00295,AST-00295,A06CD943F54555597A6B534C,FALSE,45
qr-00296,ast-00296,AST-00296,7DD43DC9753FE8397410A582,TRUE,23
qr-00297,ast-00297,AST-00297,3C18724EA6BCA3D05AA96563,TRUE,3
qr-00298,ast-00298,AST-00298,C3A075CE0AEE2DE1FA14B93A,TRUE,44
qr-00299,ast-00299,AST-00299,11AADACDEC6B3537339C9C81,TRUE,29
qr-00300,ast-00300,AST-00300,53D28C832CD7103B327EB4B7,FALSE,26
qr-00301,ast-00301,AST-00301,9F95F18659DD665FFF12477B,FALSE,7
qr-00302,ast-00302,AST-00302,20FD70591A5AC8A62796058D,TRUE,7
qr-00303,ast-00303,AST-00303,1F6F2C2D0DA97EA551DE7D74,TRUE,28
qr-00304,ast-00304,AST-00304,A9F23C98743DC4B824422E68,TRUE,29
qr-00305,ast-00305,AST-00305,5FB3BE007410934C15D32EF3,TRUE,43
qr-00306,ast-00306,AST-00306,9D123FF852D74BF5A4A0CB70,TRUE,18
qr-00307,ast-00307,AST-00307,654C6EC06BB85446427254D7,TRUE,29
qr-00308,ast-00308,AST-00308,7B3C3B007174F81985A6B360,TRUE,9
qr-00309,ast-00309,AST-00309,752806BEA66610476757088C,TRUE,14
qr-00310,ast-00310,AST-00310,775F1C0FFF2F81AAB1E93296,TRUE,20
qr-00311,ast-00311,AST-00311,10DAC3A0C98F5B66FE0CEBE5,FALSE,26
qr-00312,ast-00312,AST-00312,F3D6CBC36C703326DCA2E8D6,TRUE,41
qr-00313,ast-00313,AST-00313,2BAFF0B4F1104537178F3CD0,FALSE,18
qr-00314,ast-00314,AST-00314,65E3DD9EBB14B91409D23819,TRUE,36
qr-00315,ast-00315,AST-00315,1374B8FFF4AD91AFF07B3684,TRUE,25
qr-00316,ast-00316,AST-00316,C9BD3F55161534AD5B750EA0,TRUE,31
qr-00317,ast-00317,AST-00317,F13D670853B5423B8E641A88,TRUE,41
qr-00318,ast-00318,AST-00318,A2491E40077032DAA49C1816,TRUE,47
qr-00319,ast-00319,AST-00319,E9A8B030FE3082F46E3DD072,TRUE,18
qr-00320,ast-00320,AST-00320,8DD331A62176BB715D2F3CAE,TRUE,45
qr-00321,ast-00321,AST-00321,477C03F8F604A3BEDF7D4613,TRUE,29
qr-00322,ast-00322,AST-00322,56D6BD17FF7B0A8AAAD0A2A2,FALSE,11
qr-00323,ast-00323,AST-00323,BD443B898F539A49DE6CC4DA,TRUE,17
qr-00324,ast-00324,AST-00324,AA698746F5E188F259509CCC,TRUE,35
qr-00325,ast-00325,AST-00325,5B6AEBD8FC4F57A1A9A17705,TRUE,17
qr-00326,ast-00326,AST-00326,6097A5C380A7328DCADF23BF,FALSE,32
qr-00327,ast-00327,AST-00327,3D53BA80FD2CAFF9251B34F6,TRUE,24
