asset_id,company_id,category_id,category_name,asset_tag,brand,model,serial_number,purchase_date,purchase_price,warranty_expiry,status,condition,current_employee_id,location,notes
ast-00023,comp-001,cat-01,Laptop,AST-00023,Apple,MacBook Pro 14 M3,APP-LAPT-75471-5278,2023-06-30,2955.48,2024-06-29,stolen,good,,Jakarta HQ - Floor 4,
ast-00024,comp-001,cat-05,Printer,AST-00024,Canon,imageRUNNER 2630i,CAN-PRIN-60761-7964,2025-07-18,1247.05,2028-07-17,available,good,,Jakarta HQ - Floor 4,
ast-00025,comp-001,cat-03,Monitor,AST-00025,Samsung,S27A800 27 4K,SAM-MONI-40325-3289,2023-07-18,574.43,2024-07-17,assigned,good,emp-015,Warehouse - Bandung,
ast-00026,comp-001,cat-02,Desktop,AST-00026,Lenovo,ThinkCentre M90s Gen 4,LEN-DESK-76199-2646,2025-08-23,2575.33,2027-08-23,assigned,good,emp-017,Jakarta HQ - Floor 1,
ast-00027,comp-001,cat-08,Router,AST-00027,Cisco,ISR 4321,CIS-ROUT-76032-9336,2021-01-07,2430.25,2025-01-06,assigned,good,emp-018,Remote - WFH,
ast-00028,comp-001,cat-01,Laptop,AST-00028,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-11475-3395,2025-08-17,2032.98,2029-08-16,assigned,fair,emp-020,Warehouse - Jakarta,
ast-00029,comp-001,cat-09,Tablet,AST-00029,Apple,iPad Air M1,APP-TABL-16746-5964,2022-11-16,468.35,2023-11-16,assigned,good,emp-021,Warehouse - Jakarta,
ast-00030,comp-001,cat-03,Monitor,AST-00030,HP,E27u G5 27 4K,HP-MONI-65278-6990,2022-10-01,727.83,2023-10-01,assigned,good,emp-022,Jakarta HQ - Floor 4,
ast-00031,comp-001,cat-08,Router,AST-00031,Fortinet,FortiGate 60F,FOR-ROUT-92047-9804,2020-10-14,1394.40,2021-10-14,assigned,good,emp-025,Warehouse - Jakarta,
ast-00032,comp-001,cat-01,Laptop,AST-00032,Lenovo,ThinkPad T14s Gen 4,LEN-LAPT-51160-5199,2023-05-21,2527.33,2026-05-20,assigned,good,emp-027,Warehouse - Jakarta,
ast-00033,comp-001,cat-01,Laptop,AST-00033,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-44132-4079,2020-05-27,2004.21,2022-05-27,assigned,poor,emp-030,Remote - WFH,
ast-00034,comp-001,cat-01,Laptop,AST-00034,Dell,XPS 15 9530,DEL-LAPT-68436-5917,2023-02-27,2169.88,2026-02-26,available,new,,Jakarta HQ - Floor 1,
ast-00035,comp-001,cat-01,Laptop,AST-00035,ASUS,ZenBook 14 OLED,ASU-LAPT-98395-2535,2020-04-27,1830.91,2023-04-27,retired,good,,Warehouse - Bandung,
ast-00036,comp-001,cat-01,Laptop,AST-00036,Dell,XPS 15 9530,DEL-LAPT-39850-9843,2024-09-02,3006.44,2028-09-01,available,fair,,Jakarta HQ - Floor 1,
ast-00037,comp-001,cat-03,Monitor,AST-00037,Dell,P2423DE 24 16:9,DEL-MONI-63077-7882,2020-03-03,521.14,2021-03-03,maintenance,good,,Data Center - Jakarta,
ast-00038,comp-001,cat-10,Peripheral,AST-00038,Logitech,MX Keys Keyboard,LOG-PERI-36383-9275,2022-03-25,236.78,2023-03-25,assigned,poor,emp-032,Warehouse - Bandung,
ast-00039,comp-001,cat-09,Tablet,AST-00039,Apple,iPad Air M1,APP-TABL-67049-1752,2023-02-09,1172.72,2024-02-09,available,poor,,Warehouse - Jakarta,
ast-00040,comp-001,cat-01,Laptop,AST-00040,Apple,MacBook Air 15 M3,APP-LAPT-44656-6432,2023-11-16,2998.29,2024-11-15,assigned,good,emp-033,Jakarta HQ - Floor 1,
ast-00041,comp-001,cat-09,Tablet,AST-00041,Apple,iPad Air M1,APP-TABL-94861-7292,2024-11-30,711.23,2026-11-30,available,repairing,,Jakarta HQ - Floor 1,
ast-00042,comp-001,cat-01,Laptop,AST-00042,Microsoft,Surface Laptop 5,MIC-LAPT-21331-6910,2021-08-25,3434.87,2025-08-24,stolen,good,,Jakarta HQ - Floor 5,
ast-00043,comp-001,cat-07,Network Switch,AST-00043,Cisco,Catalyst 9200-48P,CIS-NETW-52481-7997,2022-03-02,2077.53,2025-03-01,assigned,good,emp-037,Data Center - Jakarta,
ast-00044,comp-001,cat-07,Network Switch,AST-00044,Cisco,Catalyst 9300-48P,CIS-NETW-31442-5873,2023-11-03,2915.92,2026-11-02,assigned,poor,emp-038,Remote - WFH,
ast-00045,comp-001,cat-03,Monitor,AST-00045,Samsung,S27A800 27 4K,SAM-MONI-48100-4082,2023-08-09,1162.09,2026-08-08,retired,new,,Remote - WFH,
ast-00046,comp-001,cat-10,Peripheral,AST-00046,Logitech,C922 Pro Webcam,LOG-PERI-78272-5225,2023-11-18,265.38,2027-11-17,available,new,,Jakarta HQ - Floor 2,
ast-00047,comp-001,cat-09,Tablet,AST-00047,Microsoft,Surface Pro 9,MIC-TABL-40103-6898,2025-07-05,571.65,2027-07-05,assigned,good,emp-042,Remote - WFH,
ast-00048,comp-001,cat-01,Laptop,AST-00048,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-45861-8203,2024-06-19,1614.36,2026-06-19,available,good,,Warehouse - Bandung,
ast-00049,comp-001,cat-01,Laptop,AST-00049,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-37346-9213,2023-07-03,2729.39,2026-07-02,available,new,,Remote - WFH,
ast-00050,comp-001,cat-01,Laptop,AST-00050,HP,EliteBook 840 G10,HP-LAPT-10472-3931,2020-05-19,2507.75,2022-05-19,available,new,,Warehouse - Bandung,
ast-00051,comp-001,cat-01,Laptop,AST-00051,Dell,Latitude 5540,DEL-LAPT-70911-1119,2023-05-09,2172.80,2024-05-08,maintenance,fair,,Jakarta HQ - Floor 3,
ast-00052,comp-001,cat-01,Laptop,AST-00052,Apple,MacBook Pro 14 M3,APP-LAPT-29202-4737,2025-10-26,2863.22,2027-10-26,assigned,poor,emp-044,Jakarta HQ - Floor 3,
ast-00053,comp-001,cat-10,Peripheral,AST-00053,Logitech,MX Master 3S Mouse,LOG-PERI-44175-5261,2025-05-29,101.75,2028-05-28,assigned,good,emp-045,Warehouse - Jakarta,
ast-00054,comp-001,cat-02,Desktop,AST-00054,Apple,Mac Mini M2,APP-DESK-53382-5338,2024-06-17,1640.12,2025-06-17,assigned,good,emp-047,Remote - WFH,
ast-00055,comp-001,cat-09,Tablet,AST-00055,Samsung,Galaxy Tab S9 FE,SAM-TABL-65354-3004,2024-02-06,830.57,2025-02-05,retired,fair,,Jakarta HQ - Floor 5,
ast-00056,comp-001,cat-09,Tablet,AST-00056,Microsoft,Surface Pro 9,MIC-TABL-34841-1847,2023-03-24,619.44,2027-03-23,assigned,good,emp-049,Jakarta HQ - Floor 1,
ast-00057,comp-001,cat-03,Monitor,AST-00057,Samsung,S27A800 27 4K,SAM-MONI-24606-8261,2021-07-16,850.76,2025-07-15,available,poor,,Jakarta HQ - Floor 5,
ast-00058,comp-001,cat-10,Peripheral,AST-00058,Logitech,C922 Pro Webcam,LOG-PERI-66031-3009,2020-04-03,280.76,2023-04-03,maintenance,good,,Jakarta HQ - Floor 2,
ast-00059,comp-001,cat-01,Laptop,AST-00059,Dell,Latitude 5540,DEL-LAPT-56284-9064,2020-08-24,3217.12,2023-08-24,available,fair,,Jakarta HQ - Floor 4,
ast-00060,comp-001,cat-03,Monitor,AST-00060,Samsung,S27A800 27 4K,SAM-MONI-47748-4836,2025-08-26,908.86,2028-08-25,available,fair,,Remote - WFH,
ast-00061,comp-001,cat-02,Desktop,AST-00061,Dell,OptiPlex 7000 Tower,DEL-DESK-65406-1757,2023-06-25,1553.30,2025-06-24,assigned,fair,emp-051,Jakarta HQ - Floor 2,
ast-00062,comp-001,cat-04,Smartphone,AST-00062,Samsung,Galaxy S24,SAM-SMAR-20497-1415,2020-12-20,1039.80,2022-12-20,assigned,new,emp-052,Warehouse - Jakarta,
ast-00063,comp-001,cat-03,Monitor,AST-00063,Dell,U2723QE 4K USB-C Hub,DEL-MONI-51482-7023,2025-10-21,840.45,2027-10-21,available,good,,Jakarta HQ - Floor 2,
ast-00064,comp-001,cat-01,Laptop,AST-00064,Lenovo,ThinkPad T14s Gen 4,LEN-LAPT-54475-2933,2023-05-02,3034.31,2027-05-01,assigned,fair,emp-054,Jakarta HQ - Floor 5,
ast-00065,comp-001,cat-05,Printer,AST-00065,Canon,imageRUNNER 2630i,CAN-PRIN-23032-8968,2022-12-28,1962.92,2023-12-28,assigned,new,emp-055,Remote - WFH,
ast-00066,comp-001,cat-04,Smartphone,AST-00066,Apple,iPhone 15,APP-SMAR-57543-7505,2023-01-17,956.62,2024-01-17,assigned,damaged,emp-057,Jakarta HQ - Floor 2,
ast-00067,comp-001,cat-09,Tablet,AST-00067,Microsoft,Surface Pro 9,MIC-TABL-81582-8023,2021-07-07,906.39,2025-07-06,assigned,good,emp-059,Jakarta HQ - Floor 4,
ast-00068,comp-001,cat-10,Peripheral,AST-00068,Jabra,Evolve2 65 Headset,JAB-PERI-78693-4445,2020-10-12,65.76,2021-10-12,maintenance,poor,,Data Center - Jakarta,
ast-00069,comp-001,cat-09,Tablet,AST-00069,Microsoft,Surface Pro 9,MIC-TABL-32933-2518,2025-06-01,949.10,2026-06-01,maintenance,good,,Branch - Surabaya,
ast-00070,comp-001,cat-04,Smartphone,AST-00070,Apple,iPhone 15,APP-SMAR-31582-1941,2024-01-19,1178.93,2027-01-18,retired,good,,Jakarta HQ - Floor 2,
ast-00071,comp-001,cat-10,Peripheral,AST-00071,Jabra,Evolve2 65 Headset,JAB-PERI-38230-7866,2022-02-26,296.77,2025-02-25,assigned,good,emp-060,Branch - Surabaya,
ast-00072,comp-001,cat-01,Laptop,AST-00072,Microsoft,Surface Laptop 5,MIC-LAPT-77192-7920,2020-08-16,2147.68,2023-08-16,available,damaged,,Jakarta HQ - Floor 5,
ast-00073,comp-001,cat-01,Laptop,AST-00073,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-25972-6154,2022-11-18,1766.94,2023-11-18,available,new,,Warehouse - Jakarta,
ast-00074,comp-001,cat-10,Peripheral,AST-00074,Poly,Voyager 5200 Headset,POL-PERI-73103-1116,2023-01-25,201.62,2025-01-24,assigned,new,emp-063,Jakarta HQ - Floor 2,
ast-00075,comp-001,cat-09,Tablet,AST-00075,Samsung,Galaxy Tab S9 Ultra,SAM-TABL-46741-5474,2025-10-26,1192.73,2026-10-26,assigned,fair,emp-065,Jakarta HQ - Floor 5,
ast-00076,comp-001,cat-10,Peripheral,AST-00076,Jabra,Evolve2 65 Headset,JAB-PERI-12495-5880,2022-12-16,192.42,2024-12-15,retired,new,,Jakarta HQ - Floor 4,
ast-00077,comp-001,cat-10,Peripheral,AST-00077,Logitech,MX Keys Keyboard,LOG-PERI-23812-6923,2021-05-22,205.62,2023-05-22,assigned,good,emp-067,Remote - WFH,
ast-00078,comp-001,cat-03,Monitor,AST-00078,Dell,P2423DE 24 16:9,DEL-MONI-42418-6492,2023-01-13,894.84,2027-01-12,assigned,good,emp-068,Data Center - Jakarta,
ast-00079,comp-001,cat-01,Laptop,AST-00079,HP,EliteBook 840 G10,HP-LAPT-74548-3174,2022-05-30,2367.00,2024-05-29,retired,good,,Jakarta HQ - Floor 1,
ast-00080,comp-001,cat-03,Monitor,AST-00080,Dell,U2723QE 4K USB-C Hub,DEL-MONI-40880-3661,2023-05-13,540.30,2025-05-12,available,poor,,Jakarta HQ - Floor 5,
ast-00081,comp-001,cat-03,Monitor,AST-00081,Dell,U2723QE 4K USB-C Hub,DEL-MONI-16699-4372,2025-04-22,951.89,2028-04-21,available,good,,Jakarta HQ - Floor 2,
ast-00082,comp-001,cat-09,Tablet,AST-00082,Samsung,Galaxy Tab S9 FE,SAM-TABL-32637-6842,2020-07-29,598.56,2023-07-29,assigned,good,emp-069,Warehouse - Jakarta,
ast-00083,comp-001,cat-01,Laptop,AST-00083,Dell,Latitude 5540,DEL-LAPT-81766-2636,2024-03-29,2637.62,2026-03-29,assigned,good,emp-071,Jakarta HQ - Floor 5,
ast-00084,comp-001,cat-01,Laptop,AST-00084,HP,ProBook 450 G10,HP-LAPT-14181-1733,2023-04-29,1906.84,2026-04-28,assigned,fair,emp-073,Jakarta HQ - Floor 1,
ast-00085,comp-001,cat-04,Smartphone,AST-00085,Apple,iPhone 15,APP-SMAR-96163-3984,2020-06-25,1090.06,2024-06-24,available,good,,Jakarta HQ - Floor 1,
ast-00086,comp-001,cat-01,Laptop,AST-00086,Microsoft,Surface Laptop 5,MIC-LAPT-10092-7247,2021-07-20,1605.00,2023-07-20,retired,good,,Jakarta HQ - Floor 2,
ast-00087,comp-001,cat-01,Laptop,AST-00087,Dell,XPS 15 9530,DEL-LAPT-95827-8607,2022-10-03,2408.65,2025-10-02,maintenance,new,,Warehouse - Bandung,
ast-00088,comp-001,cat-01,Laptop,AST-00088,Apple,MacBook Air 15 M3,APP-LAPT-95984-6085,2025-05-25,3011.23,2028-05-24,assigned,fair,emp-075,Jakarta HQ - Floor 4,
ast-00089,comp-001,cat-04,Smartphone,AST-00089,Google,Pixel 8 Pro,GOO-SMAR-33439-8733,2025-01-31,878.30,2029-01-30,assigned,good,emp-077,Jakarta HQ - Floor 1,
ast-00090,comp-001,cat-09,Tablet,AST-00090,Apple,iPad Pro 12.9 M2,APP-TABL-42437-4654,2025-11-06,708.66,2027-11-06,available,new,,Jakarta HQ - Floor 3,
ast-00091,comp-001,cat-01,Laptop,AST-00091,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-14547-9591,2024-05-25,2968.56,2028-05-24,retired,repairing,,Jakarta HQ - Floor 5,
ast-00092,comp-001,cat-01,Laptop,AST-00092,Dell,XPS 15 9530,DEL-LAPT-80156-1268,2021-05-21,2638.87,2022-05-21,assigned,new,emp-078,Branch - Surabaya,
ast-00093,comp-001,cat-01,Laptop,AST-00093,HP,ProBook 450 G10,HP-LAPT-89989-6689,2020-03-14,1897.79,2023-03-14,assigned,good,emp-080,Warehouse - Jakarta,
ast-00094,comp-001,cat-01,Laptop,AST-00094,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-95563-1786,2024-09-03,2478.41,2025-09-03,available,good,,Branch - Surabaya,
ast-00095,comp-001,cat-04,Smartphone,AST-00095,Apple,iPhone 15,APP-SMAR-35552-3079,2023-03-20,808.82,2027-03-19,assigned,damaged,emp-082,Jakarta HQ - Floor 4,
ast-00096,comp-001,cat-03,Monitor,AST-00096,Dell,U2723QE 4K USB-C Hub,DEL-MONI-41153-4150,2024-11-20,353.17,2026-11-20,available,good,,Remote - WFH,
ast-00097,comp-001,cat-08,Router,AST-00097,Fortinet,FortiGate 60F,FOR-ROUT-15611-8173,2023-10-02,1948.97,2024-10-01,maintenance,fair,,Remote - WFH,
ast-00098,comp-001,cat-01,Laptop,AST-00098,Apple,MacBook Air 15 M3,APP-LAPT-69845-3123,2023-07-09,1400.41,2025-07-08,available,good,,Data Center - Jakarta,
ast-00099,comp-001,cat-06,Server,AST-00099,HP,ProLiant DL380 Gen11,HP-SERV-32638-8104,2025-07-29,4811.19,2027-07-29,available,good,,Jakarta HQ - Floor 3,
ast-00100,comp-001,cat-10,Peripheral,AST-00100,Jabra,Evolve2 65 Headset,JAB-PERI-14110-4957,2021-10-29,65.76,2024-10-28,assigned,good,emp-084,Warehouse - Jakarta,
ast-00101,comp-001,cat-02,Desktop,AST-00101,Lenovo,ThinkCentre M90s Gen 4,LEN-DESK-85943-8754,2022-12-01,1004.10,2026-11-30,assigned,fair,emp-086,Jakarta HQ - Floor 1,
ast-00102,comp-001,cat-01,Laptop,AST-00102,Dell,XPS 15 9530,DEL-LAPT-97992-1462,2021-01-10,2959.74,2022-01-10,assigned,new,emp-088,Warehouse - Jakarta,
ast-00103,comp-001,cat-05,Printer,AST-00103,Epson,WorkForce Pro WF-7820,EPS-PRIN-37587-4155,2025-04-26,1343.11,2027-04-26,available,good,,Jakarta HQ - Floor 5,
ast-00104,comp-001,cat-01,Laptop,AST-00104,Microsoft,Surface Laptop 5,MIC-LAPT-89327-2739,2020-01-23,3219.34,2022-01-22,lost,fair,,Jakarta HQ - Floor 1,
ast-00105,comp-001,cat-03,Monitor,AST-00105,Samsung,S27A800 27 4K,SAM-MONI-94808-5134,2024-05-27,552.83,2027-05-27,assigned,good,emp-090,Jakarta HQ - Floor 3,
ast-00106,comp-001,cat-01,Laptop,AST-00106,ASUS,ZenBook 14 OLED,ASU-LAPT-67117-8501,2021-08-23,2763.28,2023-08-23,assigned,good,emp-092,Jakarta HQ - Floor 4,
ast-00107,comp-001,cat-02,Desktop,AST-00107,Lenovo,ThinkCentre M90s Gen 4,LEN-DESK-94659-9708,2025-01-10,2543.53,2028-01-10,available,new,,Jakarta HQ - Floor 1,
ast-00108,comp-001,cat-04,Smartphone,AST-00108,Samsung,Galaxy S24 Ultra,SAM-SMAR-69742-8872,2022-01-11,902.39,2024-01-11,available,new,,Warehouse - Bandung,
ast-00109,comp-001,cat-01,Laptop,AST-00109,ASUS,ZenBook 14 OLED,ASU-LAPT-81774-6235,2024-09-08,2954.99,2026-09-08,available,good,,Jakarta HQ - Floor 1,
ast-00110,comp-001,cat-06,Server,AST-00110,Dell,PowerEdge R650,DEL-SERV-23060-7572,2024-07-25,11024.04,2028-07-24,maintenance,good,,Jakarta HQ - Floor 3,
ast-00111,comp-001,cat-07,Network Switch,AST-00111,Ubiquiti,UniFi Switch Pro 48,UBI-NETW-20149-8083,2023-03-06,1438.60,2025-03-05,available,fair,,Jakarta HQ - Floor 1,
ast-00112,comp-001,cat-03,Monitor,AST-00112,HP,E27u G5 27 4K,HP-MONI-54886-2789,2024-09-23,629.06,2027-09-23,retired,good,,Data Center - Jakarta,
ast-00113,comp-001,cat-01,Laptop,AST-00113,Microsoft,Surface Laptop 5,MIC-LAPT-16721-3514,2022-04-19,2168.51,2023-04-19,assigned,good,emp-093,Jakarta HQ - Floor 4,
ast-00114,comp-001,cat-06,Server,AST-00114,Lenovo,ThinkSystem SR650 V3,LEN-SERV-88782-2016,2020-01-01,13541.51,2021-12-31,maintenance,new,,Jakarta HQ - Floor 3,
ast-00115,comp-001,cat-06,Server,AST-00115,HP,ProLiant DL380 Gen11,HP-SERV-16137-7911,2022-02-13,3943.14,2026-02-12,assigned,good,emp-095,Data Center - Jakarta,
ast-00116,comp-001,cat-07,Network Switch,AST-00116,Juniper,EX3400-48P,JUN-NETW-78284-7441,2024-12-07,1038.98,2026-12-07,stolen,good,,Remote - WFH,
ast-00117,comp-001,cat-01,Laptop,AST-00117,Lenovo,ThinkPad T14s Gen 4,LEN-LAPT-68580-4267,2023-06-26,3185.37,2026-06-25,maintenance,fair,,Data Center - Jakarta,
ast-00118,comp-001,cat-10,Peripheral,AST-00118,Logitech,MX Keys Keyboard,LOG-PERI-91277-6847,2020-04-22,289.54,2023-04-22,assigned,good,emp-096,Data Center - Jakarta,
ast-00119,comp-001,cat-04,Smartphone,AST-00119,Xiaomi,13T Pro,XIA-SMAR-79916-1720,2024-11-19,909.44,2028-11-18,assigned,fair,emp-097,Remote - WFH,
ast-00120,comp-001,cat-01,Laptop,AST-00120,Microsoft,Surface Laptop 5,MIC-LAPT-27830-5531,2025-05-16,1319.30,2028-05-15,available,fair,,Jakarta HQ - Floor 5,
ast-00121,comp-001,cat-08,Router,AST-00121,Cisco,ISR 4321,CIS-ROUT-11640-7356,2020-08-07,2093.98,2023-08-07,available,fair,,Warehouse - Bandung,
ast-00122,comp-001,cat-01,Laptop,AST-00122,HP,ProBook 450 G10,HP-LAPT-86051-9862,2021-11-01,2631.72,2023-11-01,assigned,fair,emp-098,Data Center - Jakarta,
ast-00123,comp-001,cat-05,Printer,AST-00123,HP,LaserJet Enterprise M507,HP-PRIN-17210-6605,2020-05-10,1997.02,2022-05-10,available,poor,,Jakarta HQ - Floor 1,
ast-00124,comp-001,cat-01,Laptop,AST-00124,Dell,XPS 15 9530,DEL-LAPT-79464-5134,2024-10-10,3463.90,2025-10-10,assigned,good,emp-099,Warehouse - Bandung,
ast-00125,comp-001,cat-08,Router,AST-00125,Ubiquiti,UniFi Dream Machine SE,UBI-ROUT-15363-6510,2024-03-31,578.74,2027-03-31,lost,good,,Data Center - Jakarta,
ast-00126,comp-001,cat-01,Laptop,AST-00126,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-77563-8774,2021-05-20,2912.69,2022-05-20,assigned,good,emp-100,Branch - Surabaya,
ast-00127,comp-001,cat-10,Peripheral,AST-00127,Poly,Voyager 5200 Headset,POL-PERI-35100-9693,2023-07-20,185.52,2024-07-19,assigned,fair,,Warehouse - Jakarta,
ast-00128,comp-001,cat-04,Smartphone,AST-00128,Xiaomi,13T Pro,XIA-SMAR-76210-8610,2022-09-11,1125.80,2025-09-10,assigned,poor,,Jakarta HQ - Floor 2,
ast-00129,comp-001,cat-01,Laptop,AST-00129,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-68240-1674,2025-06-04,1605.39,2026-06-04,assigned,good,,Jakarta HQ - Floor 5,
ast-00130,comp-001,cat-07,Network Switch,AST-00130,Cisco,Catalyst 9300-48P,CIS-NETW-52948-1909,2020-12-03,2993.17,2023-12-03,available,good,,Jakarta HQ - Floor 4,
ast-00131,comp-001,cat-01,Laptop,AST-00131,HP,ProBook 450 G10,HP-LAPT-92750-7135,2025-02-06,2219.91,2029-02-05,assigned,poor,,Jakarta HQ - Floor 1,
ast-00132,comp-001,cat-04,Smartphone,AST-00132,Apple,iPhone 15,APP-SMAR-75743-9678,2020-10-23,1338.59,2023-10-23,assigned,good,,Jakarta HQ - Floor 5,
ast-00133,comp-001,cat-02,Desktop,AST-00133,Apple,Mac Studio M2 Max,APP-DESK-56171-3990,2023-06-22,1702.92,2025-06-21,available,new,,Jakarta HQ - Floor 1,
ast-00134,comp-001,cat-01,Laptop,AST-00134,HP,EliteBook 840 G10,HP-LAPT-18224-6589,2021-10-18,3474.88,2025-10-17,assigned,fair,,Warehouse - Jakarta,
ast-00135,comp-001,cat-03,Monitor,AST-00135,HP,E27u G5 27 4K,HP-MONI-86810-5136,2022-03-14,741.02,2026-03-13,retired,fair,,Jakarta HQ - Floor 1,
ast-00136,comp-001,cat-10,Peripheral,AST-00136,Logitech,MX Master 3S Mouse,LOG-PERI-30363-1639,2020-03-27,179.25,2023-03-27,assigned,good,,Jakarta HQ - Floor 3,
ast-00137,comp-001,cat-01,Laptop,AST-00137,Lenovo,ThinkPad X1 Carbon Gen 11,LEN-LAPT-59204-2908,2024-01-12,3002.14,2026-01-11,available,good,,Jakarta HQ - Floor 5,
ast-00138,comp-001,cat-08,Router,AST-00138,Cisco,ISR 4321,CIS-ROUT-39925-1149,2022-02-02,1276.06,2026-02-01,assigned,good,,Jakarta HQ - Floor 5,
ast-00139,comp-001,cat-09,Tablet,AST-00139,Samsung,Galaxy Tab S9 FE,SAM-TABL-56710-8046,2020-09-08,612.55,2023-09-08,available,good,,Jakarta HQ - Floor 5,
ast-00140,comp-001,cat-01,Laptop,AST-00140,Lenovo,ThinkPad T14s Gen 4,LEN-LAPT-72719-5225,2024-01-13,1759.12,2028-01-12,maintenance,good,,Jakarta HQ - Floor 1,
